sample_size,prob_at_least_one_pct
100,0.3899
101,0.3841
102,0.3998
103,0.3977
104,0.4054
105,0.4
106,0.416
107,0.4154
108,0.4149
109,0.4187
110,0.4198
111,0.424
112,0.4243
113,0.4272
114,0.4269
115,0.433
116,0.4357
117,0.4403
118,0.4424
119,0.4465
120,0.4519
121,0.4517
122,0.4536
123,0.4517
124,0.46
125,0.46
126,0.4624
127,0.4661
128,0.4657
129,0.4725
130,0.4763
131,0.4766
132,0.4744
133,0.4751
134,0.4865
135,0.4928
136,0.5011
137,0.4992
138,0.5027
139,0.4949
140,0.4984
141,0.5019
142,0.5029
143,0.5123
144,0.5081
145,0.5113
146,0.5161
147,0.5127
148,0.523
149,0.5378
150,0.5274
151,0.5344
152,0.5334
153,0.529
154,0.5374
155,0.5445
156,0.5393
157,0.5389
158,0.5534
159,0.5499
160,0.5455
161,0.5619
162,0.5543
163,0.556
164,0.567
165,0.5584
166,0.5621
167,0.5681
168,0.5701
169,0.5664
170,0.5659
171,0.5677
172,0.5712
173,0.5754
174,0.5841
175,0.5753
176,0.5836
177,0.5898
178,0.5839
179,0.5855
180,0.5852
181,0.5909
182,0.5935
183,0.5998
184,0.6036
185,0.6052
186,0.6025
187,0.6019
188,0.6133
189,0.6113
190,0.6079
191,0.6158
192,0.6242
193,0.6147
194,0.6245
195,0.6264
196,0.6115
197,0.6305
198,0.6338
199,0.6302
200,0.6238
201,0.6275
202,0.6299
203,0.6287
204,0.6373
205,0.6384
206,0.6323
207,0.6494
208,0.639
209,0.6482
210,0.6547
211,0.6573
212,0.6551
213,0.6562
214,0.65
215,0.6503
216,0.6524
217,0.6562
218,0.6622
219,0.664
220,0.6714
221,0.6636
222,0.6764
223,0.6734
224,0.6682
225,0.6741
226,0.6764
227,0.6755
228,0.6777
229,0.6837
230,0.6827
231,0.6824
232,0.6905
233,0.6887
234,0.6902
235,0.6849
236,0.6895
237,0.6902
238,0.698
239,0.6914
240,0.7
241,0.6959
242,0.7044
243,0.7025
244,0.6973
245,0.708
246,0.7042
247,0.706
248,0.7046
249,0.7133
250,0.7054
251,0.7102
252,0.7128
253,0.7195
254,0.7157
255,0.719
256,0.7177
257,0.721
258,0.7177
259,0.7244
260,0.7209
261,0.728
262,0.7254
263,0.7294
264,0.727
265,0.7255
266,0.7278
267,0.7353
268,0.7375
269,0.7391
270,0.7378
271,0.7397
272,0.7468
273,0.7473
274,0.7472
275,0.751
276,0.7352
277,0.7449
278,0.7498
279,0.7505
280,0.7532
281,0.7538
282,0.7556
283,0.7624
284,0.7517
285,0.753
286,0.761
287,0.7605
288,0.7565
289,0.7626
290,0.7581
291,0.7679
292,0.7717
293,0.7666
294,0.7633
295,0.764
296,0.7683
297,0.7728
298,0.7802
299,0.7834
300,0.7817
301,0.7709
302,0.7748
303,0.7751
304,0.7767
305,0.7801
306,0.7739
307,0.7805
308,0.7832
309,0.7883
310,0.7839
311,0.7883
312,0.7884
313,0.7874
314,0.7893
315,0.7943
316,0.7939
317,0.7953
318,0.7917
319,0.7944
320,0.8014
321,0.7981
322,0.8026
323,0.7946
324,0.8063
325,0.8028
326,0.8052
327,0.8088
328,0.8103
329,0.8074
330,0.8016
331,0.8047
332,0.8032
333,0.8044
334,0.804
335,0.8148
336,0.8111
337,0.8189
338,0.8163
339,0.8225
340,0.8221
341,0.8172
342,0.8225
343,0.8164
344,0.8175
345,0.8237
346,0.8224
347,0.8228
348,0.8272
349,0.8198
350,0.8174
351,0.8265
352,0.832
353,0.8288
354,0.8257
355,0.8301
356,0.8301
357,0.8266
358,0.8362
359,0.827
360,0.8291
361,0.8397
362,0.8359
363,0.8358
364,0.834
365,0.835
366,0.8364
367,0.841
368,0.8396
369,0.8397
370,0.8391
371,0.839
372,0.8425
373,0.8478
374,0.8409
375,0.8427
376,0.8441
377,0.8428
378,0.8452
379,0.8457
380,0.8434
381,0.847
382,0.8513
383,0.8485
384,0.8523
385,0.8611
386,0.8569
387,0.8522
388,0.8533
389,0.8507
390,0.8589
391,0.8607
392,0.8586
393,0.8553
394,0.8657
395,0.857
396,0.8595
397,0.8663
398,0.8591
399,0.8605
400,0.8605
401,0.8708
402,0.863
403,0.8652
404,0.8638
405,0.8629
406,0.8681
407,0.8593
408,0.8675
409,0.8716
410,0.8655
411,0.864
412,0.862
413,0.8686
414,0.8754
415,0.8735
416,0.8711
417,0.8771
418,0.8655
419,0.8793
420,0.8733
421,0.8785
422,0.8807
423,0.8869
424,0.8742
425,0.8747
426,0.8851
427,0.8823
428,0.8806
429,0.883
430,0.8789
431,0.8819
432,0.8842
433,0.886
434,0.8832
435,0.8906
436,0.8848
437,0.8887
438,0.89
439,0.8876
440,0.8849
441,0.8862
442,0.8892
443,0.8876
444,0.8899
445,0.8892
446,0.8894
447,0.8989
448,0.8935
449,0.8896
450,0.8938
451,0.896
452,0.8958
453,0.8997
454,0.893
455,0.8968
456,0.8881
457,0.8927
458,0.8965
459,0.8974
460,0.8938
461,0.8938
462,0.9017
463,0.9
464,0.8986
465,0.9037
466,0.9069
467,0.907
468,0.9061
469,0.904
470,0.9032
471,0.9064
472,0.9051
473,0.904
474,0.903
475,0.9038
476,0.9064
477,0.903
478,0.9087
479,0.9055
480,0.912
481,0.9099
482,0.9129
483,0.91
484,0.9114
485,0.9105
486,0.9053
487,0.9072
488,0.9082
489,0.9139
490,0.9063
491,0.9129
492,0.9161
493,0.9137
494,0.9127
495,0.9123
496,0.9169
497,0.9119
498,0.913
499,0.9122
500,0.9155
501,0.9147
502,0.9204
503,0.9215
504,0.9171
505,0.9188
506,0.918
507,0.9197
508,0.9198
